title,description,priority
Door Lock Issue,Flush is not working in hostel washroom. This has become inconvenient for students.,Medium
Ceiling Collapse,Student experienced electric shock from socket in room 119. The complaint was observed this morning.,High
Switch Board Issue,Flush is not working in hostel washroom. The complaint was observed this morning.,Medium
Water Supply Problem,Study table leg is broken in room 349. The problem is becoming worse every day.,Medium
Door Lock Issue,Door lock is jammed and cannot be opened in room 424. This has become inconvenient for students.,Medium
Water Tap Problem,Door lock is jammed and cannot be opened in room 481. The complaint was observed this morning.,Medium
Painting Request,Dustbin outside room 273 is overflowing. The problem is becoming worse every day.,Low
Water Tap Problem,Door lock is jammed and cannot be opened in room 370. This has become inconvenient for students.,Medium
Minor Maintenance,Students are making noise after study hours. Kindly look into this matter.,Low
Gas Leak,"Continuous water leakage from ceiling in room 286, Block D. Immediate maintenance is requested.",High
Water Tap Problem,Door lock is jammed and cannot be opened in room 209. The issue is affecting daily hostel life.,Medium
Dustbin Overflow,Mess food quality can be improved during dinner. This problem has been occurring since yesterday.,Low
Smoke Alert,Lift stopped unexpectedly with students inside Block C. Immediate maintenance is requested.,High
WiFi Slow,Curtain rod is slightly loose in room 210. The problem is becoming worse every day.,Low
Tube Light Fault,Window glass cracked due to heavy wind in room 497. Please resolve this issue as soon as possible.,Medium
Ceiling Collapse,Student collapsed due to breathing difficulty in room 447. Immediate maintenance is requested.,High
Ceiling Collapse,Smoke observed coming from electrical wiring in corridor. Please resolve this issue as soon as possible.,High
Fire Hazard,Student experienced electric shock from socket in room 347. The issue is affecting daily hostel life.,High
Window Damage,Bathroom tap keeps dripping in room 468. The problem is becoming worse every day.,Medium
Water Supply Problem,Power socket is loose and needs replacement. Kindly look into this matter.,Medium
Fan Repair,Tube light flickers continuously in room 228. The issue is affecting daily hostel life.,Medium
Dustbin Overflow,Hostel walls require repainting in Block E. This problem has been occurring since yesterday.,Low
Switch Board Issue,Study table leg is broken in room 434. This has become inconvenient for students.,Medium
Socket Repair,Switch board buttons are loose in room 214. Kindly look into this matter.,Medium
Minor Maintenance,Request to install additional charging ports. Please resolve this issue as soon as possible.,Low
Socket Repair,Water supply is irregular in Block E. Please resolve this issue as soon as possible.,Medium
Garden Maintenance,Curtain rod is slightly loose in room 493. The problem is becoming worse every day.,Low
Smoke Alert,Student collapsed due to breathing difficulty in room 109. This has become inconvenient for students.,High
Medical Emergency,Strong gas smell reported near hostel kitchen in Block A. This problem has been occurring since yesterday.,High
Fan Repair,Flush is not working in hostel washroom. Kindly look into this matter.,Medium
Ceiling Collapse,Unknown person entered girls hostel near Block B. Immediate maintenance is requested.,High
Electric Shock,"Continuous water leakage from ceiling in room 216, Block C. The issue is affecting daily hostel life.",High
Smoke Alert,"Continuous water leakage from ceiling in room 413, Block B. Immediate maintenance is requested.",High
Garden Maintenance,Mess food quality can be improved during dinner. Kindly look into this matter.,Low
Door Lock Issue,Switch board buttons are loose in room 270. Kindly look into this matter.,Medium
Water Tap Problem,Bathroom tap keeps dripping in room 196. Immediate maintenance is requested.,Medium
Cleaning Request,Laundry clothes have not been returned on time. The issue is affecting daily hostel life.,Low
Water Supply Problem,Ceiling fan is not rotating properly in room 105. The issue is affecting daily hostel life.,Medium
Suggestion,Garden near Block E requires maintenance. Kindly look into this matter.,Low
Fan Repair,Water supply is irregular in Block B. Kindly look into this matter.,Medium
Medical Emergency,Unknown person entered girls hostel near Block B. The problem is becoming worse every day.,High
Medical Emergency,Smoke observed coming from electrical wiring in corridor. The problem is becoming worse every day.,High
Cleaning Request,Internet speed is slow in room 422. This has become inconvenient for students.,Low
Flush Issue,Flush is not working in hostel washroom. This problem has been occurring since yesterday.,Medium
Ceiling Collapse,Student experienced electric shock from socket in room 413. Immediate maintenance is requested.,High
Garden Maintenance,Curtain rod is slightly loose in room 179. Kindly look into this matter.,Low
Water Leakage,Student collapsed due to breathing difficulty in room 407. This has become inconvenient for students.,High
Lift Failure,Strong gas smell reported near hostel kitchen in Block D. The complaint was observed this morning.,High
Garden Maintenance,Laundry clothes have not been returned on time. This problem has been occurring since yesterday.,Low
Minor Maintenance,Mess food quality can be improved during dinner. The complaint was observed this morning.,Low
Dustbin Overflow,Request to install additional charging ports. Immediate maintenance is requested.,Low
Painting Request,Hostel walls require repainting in Block D. Immediate maintenance is requested.,Low
Smoke Alert,Smoke observed coming from electrical wiring in corridor. The complaint was observed this morning.,High
Water Leakage,Student collapsed due to breathing difficulty in room 372. Kindly look into this matter.,High
Switch Board Issue,Bathroom tap keeps dripping in room 514. This has become inconvenient for students.,Medium
Socket Repair,Flush is not working in hostel washroom. The issue is affecting daily hostel life.,Medium
Switch Board Issue,Power socket is loose and needs replacement. The issue is affecting daily hostel life.,Medium
Water Supply Problem,Study table leg is broken in room 391. Immediate maintenance is requested.,Medium
Tube Light Fault,Power socket is loose and needs replacement. Kindly look into this matter.,Medium
Gas Leak,Lift stopped unexpectedly with students inside Block B. Please resolve this issue as soon as possible.,High
Flush Issue,Flush is not working in hostel washroom. Immediate maintenance is requested.,Medium
Short Circuit,Lift stopped unexpectedly with students inside Block C. Kindly look into this matter.,High
Socket Repair,Door lock is jammed and cannot be opened in room 289. The problem is becoming worse every day.,Medium
Minor Maintenance,Internet speed is slow in room 359. The complaint was observed this morning.,Low
Medical Emergency,Lift stopped unexpectedly with students inside Block A. This has become inconvenient for students.,High
WiFi Slow,Curtain rod is slightly loose in room 403. Kindly look into this matter.,Low
Laundry Delay,Hostel walls require repainting in Block E. This problem has been occurring since yesterday.,Low
Window Damage,Ceiling fan is not rotating properly in room 284. This problem has been occurring since yesterday.,Medium
Garden Maintenance,Request to install additional charging ports. This problem has been occurring since yesterday.,Low
Suggestion,Students are making noise after study hours. Kindly look into this matter.,Low
Short Circuit,Short circuit occurred near switchboard in room 455. The complaint was observed this morning.,High
Door Lock Issue,Window glass cracked due to heavy wind in room 215. Kindly look into this matter.,Medium
WiFi Slow,Hostel walls require repainting in Block A. Kindly look into this matter.,Low
Cleaning Request,Garden near Block B requires maintenance. Kindly look into this matter.,Low
Suggestion,Laundry clothes have not been returned on time. This problem has been occurring since yesterday.,Low
Short Circuit,Lift stopped unexpectedly with students inside Block C. Immediate maintenance is requested.,High
Dustbin Overflow,Dustbin outside room 143 is overflowing. This problem has been occurring since yesterday.,Low
Gas Leak,"Continuous water leakage from ceiling in room 272, Block A. The issue is affecting daily hostel life.",High
Tube Light Fault,Water supply is irregular in Block B. The complaint was observed this morning.,Medium
Ceiling Collapse,Unknown person entered girls hostel near Block E. This problem has been occurring since yesterday.,High
Security Emergency,Lift stopped unexpectedly with students inside Block C. Immediate maintenance is requested.,High
Flush Issue,Bathroom tap keeps dripping in room 489. This problem has been occurring since yesterday.,Medium
Security Emergency,"Continuous water leakage from ceiling in room 238, Block B. This has become inconvenient for students.",High
Socket Repair,Switch board buttons are loose in room 403. The complaint was observed this morning.,Medium
Smoke Alert,Student experienced electric shock from socket in room 430. The complaint was observed this morning.,High
Noise Complaint,Laundry clothes have not been returned on time. The complaint was observed this morning.,Low
Fan Repair,Door lock is jammed and cannot be opened in room 284. The problem is becoming worse every day.,Medium
Fan Repair,Tube light flickers continuously in room 208. The problem is becoming worse every day.,Medium
Water Supply Problem,Study table leg is broken in room 375. This problem has been occurring since yesterday.,Medium
Medical Emergency,Ceiling plaster collapsed in room 135. The complaint was observed this morning.,High
Medical Emergency,Short circuit occurred near switchboard in room 263. Please resolve this issue as soon as possible.,High
Noise Complaint,Dustbin outside room 378 is overflowing. The problem is becoming worse every day.,Low
Water Supply Problem,Switch board buttons are loose in room 442. The issue is affecting daily hostel life.,Medium
Tube Light Fault,Tube light flickers continuously in room 356. This has become inconvenient for students.,Medium
Ceiling Collapse,Short circuit occurred near switchboard in room 513. Kindly look into this matter.,High
Water Leakage,Unknown person entered girls hostel near Block B. The issue is affecting daily hostel life.,High
Security Emergency,Lift stopped unexpectedly with students inside Block B. This problem has been occurring since yesterday.,High
Painting Request,Laundry clothes have not been returned on time. Kindly look into this matter.,Low
Fire Hazard,Short circuit occurred near switchboard in room 303. Please resolve this issue as soon as possible.,High
Lift Failure,Strong gas smell reported near hostel kitchen in Block D. This problem has been occurring since yesterday.,High
Laundry Delay,Request to install additional charging ports. The problem is becoming worse every day.,Low
Flush Issue,Study table leg is broken in room 274. Kindly look into this matter.,Medium
Garden Maintenance,Mess food quality can be improved during dinner. This problem has been occurring since yesterday.,Low
Flush Issue,Tube light flickers continuously in room 195. Immediate maintenance is requested.,Medium
Mess Food Feedback,Laundry clothes have not been returned on time. This problem has been occurring since yesterday.,Low
Painting Request,Dustbin outside room 515 is overflowing. This has become inconvenient for students.,Low
Gas Leak,Student collapsed due to breathing difficulty in room 442. The complaint was observed this morning.,High
Garden Maintenance,Hostel walls require repainting in Block D. Immediate maintenance is requested.,Low
Fan Repair,Water supply is irregular in Block E. The complaint was observed this morning.,Medium
Fan Repair,Power socket is loose and needs replacement. Please resolve this issue as soon as possible.,Medium
Water Supply Problem,Window glass cracked due to heavy wind in room 259. Please resolve this issue as soon as possible.,Medium
Lift Failure,Ceiling plaster collapsed in room 486. The complaint was observed this morning.,High
Garden Maintenance,Dustbin outside room 223 is overflowing. This problem has been occurring since yesterday.,Low
Short Circuit,Unknown person entered girls hostel near Block D. The complaint was observed this morning.,High
Water Leakage,Short circuit occurred near switchboard in room 136. This problem has been occurring since yesterday.,High
Lift Failure,Student collapsed due to breathing difficulty in room 205. The issue is affecting daily hostel life.,High
Ceiling Collapse,Student experienced electric shock from socket in room 419. The complaint was observed this morning.,High
Cleaning Request,Garden near Block C requires maintenance. This problem has been occurring since yesterday.,Low
Door Lock Issue,Flush is not working in hostel washroom. Kindly look into this matter.,Medium
Socket Repair,Window glass cracked due to heavy wind in room 310. The issue is affecting daily hostel life.,Medium
Medical Emergency,Student experienced electric shock from socket in room 368. Immediate maintenance is requested.,High
Minor Maintenance,Students are making noise after study hours. This problem has been occurring since yesterday.,Low
Door Lock Issue,Tube light flickers continuously in room 454. This has become inconvenient for students.,Medium
Mess Food Feedback,Request to install additional charging ports. Kindly look into this matter.,Low
Minor Maintenance,Request to install additional charging ports. The issue is affecting daily hostel life.,Low
Tube Light Fault,Study table leg is broken in room 361. This problem has been occurring since yesterday.,Medium
Laundry Delay,Curtain rod is slightly loose in room 442. The problem is becoming worse every day.,Low
Switch Board Issue,Water supply is irregular in Block E. This problem has been occurring since yesterday.,Medium
Medical Emergency,Short circuit occurred near switchboard in room 483. The problem is becoming worse every day.,High
Minor Maintenance,Request to install additional charging ports. This problem has been occurring since yesterday.,Low
Flush Issue,Window glass cracked due to heavy wind in room 418. The issue is affecting daily hostel life.,Medium
Switch Board Issue,Bathroom tap keeps dripping in room 141. This has become inconvenient for students.,Medium
Short Circuit,Unknown person entered girls hostel near Block B. The problem is becoming worse every day.,High
Gas Leak,Strong gas smell reported near hostel kitchen in Block B. The problem is becoming worse every day.,High
Noise Complaint,Garden near Block D requires maintenance. The complaint was observed this morning.,Low
Electric Shock,Smoke observed coming from electrical wiring in corridor. The issue is affecting daily hostel life.,High
Electric Shock,"Continuous water leakage from ceiling in room 512, Block B. The issue is affecting daily hostel life.",High
Door Lock Issue,Flush is not working in hostel washroom. This has become inconvenient for students.,Medium
Short Circuit,Short circuit occurred near switchboard in room 229. Please resolve this issue as soon as possible.,High
Tube Light Fault,Door lock is jammed and cannot be opened in room 233. The problem is becoming worse every day.,Medium
Lift Failure,Student experienced electric shock from socket in room 136. This problem has been occurring since yesterday.,High
Smoke Alert,Smoke observed coming from electrical wiring in corridor. Kindly look into this matter.,High
Flush Issue,Study table leg is broken in room 191. The complaint was observed this morning.,Medium
Garden Maintenance,Laundry clothes have not been returned on time. The complaint was observed this morning.,Low
Cleaning Request,Curtain rod is slightly loose in room 393. The issue is affecting daily hostel life.,Low
Water Tap Problem,Window glass cracked due to heavy wind in room 444. The problem is becoming worse every day.,Medium
Smoke Alert,Lift stopped unexpectedly with students inside Block C. This problem has been occurring since yesterday.,High
Security Emergency,Unknown person entered girls hostel near Block D. Please resolve this issue as soon as possible.,High
Flush Issue,Power socket is loose and needs replacement. Immediate maintenance is requested.,Medium
Gas Leak,Smoke observed coming from electrical wiring in corridor. Kindly look into this matter.,High
Furniture Damage,Study table leg is broken in room 134. The issue is affecting daily hostel life.,Medium
Noise Complaint,Room cleaning has not been done for two days in room 305. Kindly look into this matter.,Low
Suggestion,Hostel walls require repainting in Block B. Please resolve this issue as soon as possible.,Low
WiFi Slow,Internet speed is slow in room 325. This problem has been occurring since yesterday.,Low
Suggestion,Laundry clothes have not been returned on time. Kindly look into this matter.,Low
Tube Light Fault,Tube light flickers continuously in room 438. Immediate maintenance is requested.,Medium
Dustbin Overflow,Curtain rod is slightly loose in room 434. The complaint was observed this morning.,Low
Laundry Delay,Request to install additional charging ports. The issue is affecting daily hostel life.,Low
Smoke Alert,Short circuit occurred near switchboard in room 135. This has become inconvenient for students.,High
Fire Hazard,Ceiling plaster collapsed in room 255. Please resolve this issue as soon as possible.,High
Security Emergency,Strong gas smell reported near hostel kitchen in Block C. Please resolve this issue as soon as possible.,High
WiFi Slow,Request to install additional charging ports. The problem is becoming worse every day.,Low
Flush Issue,Ceiling fan is not rotating properly in room 293. The issue is affecting daily hostel life.,Medium
Dustbin Overflow,Laundry clothes have not been returned on time. Kindly look into this matter.,Low
Suggestion,Hostel walls require repainting in Block D. The problem is becoming worse every day.,Low
WiFi Slow,Request to install additional charging ports. Kindly look into this matter.,Low
Mess Food Feedback,Internet speed is slow in room 392. Please resolve this issue as soon as possible.,Low
Noise Complaint,Students are making noise after study hours. Please resolve this issue as soon as possible.,Low
Window Damage,Tube light flickers continuously in room 190. This problem has been occurring since yesterday.,Medium
Mess Food Feedback,Curtain rod is slightly loose in room 328. Kindly look into this matter.,Low
Mess Food Feedback,Laundry clothes have not been returned on time. The issue is affecting daily hostel life.,Low
Water Tap Problem,Power socket is loose and needs replacement. Kindly look into this matter.,Medium
Water Tap Problem,Study table leg is broken in room 291. This has become inconvenient for students.,Medium
Water Leakage,Strong gas smell reported near hostel kitchen in Block D. Immediate maintenance is requested.,High
Minor Maintenance,Curtain rod is slightly loose in room 497. The problem is becoming worse every day.,Low
Mess Food Feedback,Room cleaning has not been done for two days in room 408. Kindly look into this matter.,Low
Dustbin Overflow,Room cleaning has not been done for two days in room 502. The complaint was observed this morning.,Low
Medical Emergency,Smoke observed coming from electrical wiring in corridor. The problem is becoming worse every day.,High
Smoke Alert,Unknown person entered girls hostel near Block B. This has become inconvenient for students.,High
Gas Leak,Unknown person entered girls hostel near Block D. The problem is becoming worse every day.,High
Minor Maintenance,Garden near Block A requires maintenance. Kindly look into this matter.,Low
Socket Repair,Ceiling fan is not rotating properly in room 230. The problem is becoming worse every day.,Medium
Flush Issue,Switch board buttons are loose in room 362. The problem is becoming worse every day.,Medium
Furniture Damage,Tube light flickers continuously in room 465. Immediate maintenance is requested.,Medium
Socket Repair,Water supply is irregular in Block E. The problem is becoming worse every day.,Medium
Ceiling Collapse,Unknown person entered girls hostel near Block E. The problem is becoming worse every day.,High
Door Lock Issue,Ceiling fan is not rotating properly in room 350. The problem is becoming worse every day.,Medium
Minor Maintenance,Internet speed is slow in room 170. The complaint was observed this morning.,Low
Smoke Alert,Unknown person entered girls hostel near Block A. The issue is affecting daily hostel life.,High
Water Tap Problem,Study table leg is broken in room 161. The issue is affecting daily hostel life.,Medium
Window Damage,Window glass cracked due to heavy wind in room 156. This has become inconvenient for students.,Medium
WiFi Slow,Hostel walls require repainting in Block D. Immediate maintenance is requested.,Low
Dustbin Overflow,Dustbin outside room 479 is overflowing. The complaint was observed this morning.,Low
Water Supply Problem,Window glass cracked due to heavy wind in room 337. Please resolve this issue as soon as possible.,Medium
Window Damage,Power socket is loose and needs replacement. Immediate maintenance is requested.,Medium
Mess Food Feedback,Internet speed is slow in room 197. This problem has been occurring since yesterday.,Low
Painting Request,Room cleaning has not been done for two days in room 255. Kindly look into this matter.,Low
Water Tap Problem,Window glass cracked due to heavy wind in room 421. This has become inconvenient for students.,Medium
Garden Maintenance,Garden near Block D requires maintenance. This problem has been occurring since yesterday.,Low
Dustbin Overflow,Hostel walls require repainting in Block E. This has become inconvenient for students.,Low
Painting Request,Dustbin outside room 112 is overflowing. The problem is becoming worse every day.,Low
Suggestion,Internet speed is slow in room 202. Please resolve this issue as soon as possible.,Low
Window Damage,Bathroom tap keeps dripping in room 180. Immediate maintenance is requested.,Medium
Lift Failure,Unknown person entered girls hostel near Block B. This problem has been occurring since yesterday.,High
Medical Emergency,Ceiling plaster collapsed in room 365. The problem is becoming worse every day.,High
Water Supply Problem,Bathroom tap keeps dripping in room 271. Immediate maintenance is requested.,Medium
Door Lock Issue,Tube light flickers continuously in room 311. Please resolve this issue as soon as possible.,Medium
Suggestion,Dustbin outside room 251 is overflowing. Immediate maintenance is requested.,Low
Tube Light Fault,Switch board buttons are loose in room 332. This has become inconvenient for students.,Medium
Dustbin Overflow,Hostel walls require repainting in Block A. This has become inconvenient for students.,Low
Security Emergency,Unknown person entered girls hostel near Block A. This has become inconvenient for students.,High
Medical Emergency,Student collapsed due to breathing difficulty in room 455. This has become inconvenient for students.,High
Electric Shock,Smoke observed coming from electrical wiring in corridor. The problem is becoming worse every day.,High
Noise Complaint,Dustbin outside room 118 is overflowing. Kindly look into this matter.,Low
Fan Repair,Study table leg is broken in room 219. This has become inconvenient for students.,Medium
Flush Issue,Switch board buttons are loose in room 378. The complaint was observed this morning.,Medium
Short Circuit,Student collapsed due to breathing difficulty in room 119. The complaint was observed this morning.,High
Fan Repair,Flush is not working in hostel washroom. Kindly look into this matter.,Medium
Laundry Delay,Request to install additional charging ports. The issue is affecting daily hostel life.,Low
Smoke Alert,Ceiling plaster collapsed in room 183. Please resolve this issue as soon as possible.,High
Fire Hazard,"Continuous water leakage from ceiling in room 278, Block E. This problem has been occurring since yesterday.",High
Water Supply Problem,Power socket is loose and needs replacement. This has become inconvenient for students.,Medium
Water Tap Problem,Window glass cracked due to heavy wind in room 419. Please resolve this issue as soon as possible.,Medium
Electric Shock,"Continuous water leakage from ceiling in room 482, Block C. The issue is affecting daily hostel life.",High
Tube Light Fault,Tube light flickers continuously in room 179. The complaint was observed this morning.,Medium
Door Lock Issue,Bathroom tap keeps dripping in room 492. The complaint was observed this morning.,Medium
Smoke Alert,Smoke observed coming from electrical wiring in corridor. Immediate maintenance is requested.,High
Fire Hazard,Fire sparks noticed near electrical panel in room 383. Please resolve this issue as soon as possible.,High
Water Tap Problem,Water supply is irregular in Block B. The issue is affecting daily hostel life.,Medium
Furniture Damage,Bathroom tap keeps dripping in room 436. This has become inconvenient for students.,Medium
Dustbin Overflow,Mess food quality can be improved during dinner. The issue is affecting daily hostel life.,Low
Dustbin Overflow,Room cleaning has not been done for two days in room 404. This has become inconvenient for students.,Low
Painting Request,Dustbin outside room 130 is overflowing. The complaint was observed this morning.,Low
Fire Hazard,Lift stopped unexpectedly with students inside Block E. This has become inconvenient for students.,High
Switch Board Issue,Ceiling fan is not rotating properly in room 426. The problem is becoming worse every day.,Medium
Flush Issue,Door lock is jammed and cannot be opened in room 401. Please resolve this issue as soon as possible.,Medium
Electric Shock,Short circuit occurred near switchboard in room 184. The issue is affecting daily hostel life.,High
Furniture Damage,Study table leg is broken in room 199. Kindly look into this matter.,Medium
Suggestion,Laundry clothes have not been returned on time. The problem is becoming worse every day.,Low
Fan Repair,Tube light flickers continuously in room 206. Kindly look into this matter.,Medium
Painting Request,Curtain rod is slightly loose in room 104. Kindly look into this matter.,Low
Fire Hazard,Fire sparks noticed near electrical panel in room 493. The issue is affecting daily hostel life.,High
Dustbin Overflow,Internet speed is slow in room 261. The issue is affecting daily hostel life.,Low
Laundry Delay,Hostel walls require repainting in Block E. The complaint was observed this morning.,Low
Water Tap Problem,Bathroom tap keeps dripping in room 303. This has become inconvenient for students.,Medium
Electric Shock,Ceiling plaster collapsed in room 425. Please resolve this issue as soon as possible.,High
Flush Issue,Ceiling fan is not rotating properly in room 356. This has become inconvenient for students.,Medium
Short Circuit,Smoke observed coming from electrical wiring in corridor. This problem has been occurring since yesterday.,High
Electric Shock,Fire sparks noticed near electrical panel in room 245. This problem has been occurring since yesterday.,High
Security Emergency,Student collapsed due to breathing difficulty in room 356. The complaint was observed this morning.,High
Door Lock Issue,Window glass cracked due to heavy wind in room 284. This has become inconvenient for students.,Medium
Fire Hazard,Smoke observed coming from electrical wiring in corridor. This problem has been occurring since yesterday.,High
Window Damage,Power socket is loose and needs replacement. The complaint was observed this morning.,Medium
Cleaning Request,Hostel walls require repainting in Block C. Kindly look into this matter.,Low
Electric Shock,Fire sparks noticed near electrical panel in room 339. The issue is affecting daily hostel life.,High
Lift Failure,Strong gas smell reported near hostel kitchen in Block D. Please resolve this issue as soon as possible.,High
Noise Complaint,Request to install additional charging ports. The complaint was observed this morning.,Low
Ceiling Collapse,Short circuit occurred near switchboard in room 366. The issue is affecting daily hostel life.,High
Switch Board Issue,Ceiling fan is not rotating properly in room 488. The problem is becoming worse every day.,Medium
Security Emergency,Short circuit occurred near switchboard in room 174. The complaint was observed this morning.,High
Water Supply Problem,Tube light flickers continuously in room 400. The problem is becoming worse every day.,Medium
WiFi Slow,Hostel walls require repainting in Block A. Immediate maintenance is requested.,Low
Ceiling Collapse,Student collapsed due to breathing difficulty in room 419. This problem has been occurring since yesterday.,High
Security Emergency,Fire sparks noticed near electrical panel in room 130. The complaint was observed this morning.,High
Door Lock Issue,Ceiling fan is not rotating properly in room 347. This problem has been occurring since yesterday.,Medium
Lift Failure,Unknown person entered girls hostel near Block E. The problem is becoming worse every day.,High
Furniture Damage,Window glass cracked due to heavy wind in room 134. Please resolve this issue as soon as possible.,Medium
Suggestion,Laundry clothes have not been returned on time. This problem has been occurring since yesterday.,Low
Laundry Delay,Curtain rod is slightly loose in room 263. This problem has been occurring since yesterday.,Low
Medical Emergency,Student experienced electric shock from socket in room 156. Immediate maintenance is requested.,High
Tube Light Fault,Switch board buttons are loose in room 407. The issue is affecting daily hostel life.,Medium
Smoke Alert,Unknown person entered girls hostel near Block C. Please resolve this issue as soon as possible.,High
Fire Hazard,Lift stopped unexpectedly with students inside Block A. Immediate maintenance is requested.,High
Lift Failure,Strong gas smell reported near hostel kitchen in Block B. The complaint was observed this morning.,High
Painting Request,Mess food quality can be improved during dinner. The problem is becoming worse every day.,Low
Painting Request,Laundry clothes have not been returned on time. Kindly look into this matter.,Low
Door Lock Issue,Switch board buttons are loose in room 165. The problem is becoming worse every day.,Medium
Tube Light Fault,Power socket is loose and needs replacement. Please resolve this issue as soon as possible.,Medium
Window Damage,Study table leg is broken in room 505. This has become inconvenient for students.,Medium
Switch Board Issue,Flush is not working in hostel washroom. The issue is affecting daily hostel life.,Medium
Fire Hazard,Ceiling plaster collapsed in room 315. The problem is becoming worse every day.,High
Water Leakage,"Continuous water leakage from ceiling in room 243, Block D. The complaint was observed this morning.",High
Medical Emergency,Student collapsed due to breathing difficulty in room 256. Please resolve this issue as soon as possible.,High
Laundry Delay,Curtain rod is slightly loose in room 239. Kindly look into this matter.,Low
Water Supply Problem,Ceiling fan is not rotating properly in room 197. The issue is affecting daily hostel life.,Medium
Dustbin Overflow,Dustbin outside room 425 is overflowing. Please resolve this issue as soon as possible.,Low
Furniture Damage,Switch board buttons are loose in room 419. The complaint was observed this morning.,Medium
Window Damage,Power socket is loose and needs replacement. The complaint was observed this morning.,Medium
Window Damage,Ceiling fan is not rotating properly in room 227. Please resolve this issue as soon as possible.,Medium
Short Circuit,Lift stopped unexpectedly with students inside Block C. The complaint was observed this morning.,High
Furniture Damage,Bathroom tap keeps dripping in room 462. The complaint was observed this morning.,Medium
Electric Shock,Lift stopped unexpectedly with students inside Block C. The complaint was observed this morning.,High
Furniture Damage,Flush is not working in hostel washroom. The issue is affecting daily hostel life.,Medium
Fire Hazard,Short circuit occurred near switchboard in room 381. The problem is becoming worse every day.,High
Painting Request,Laundry clothes have not been returned on time. This problem has been occurring since yesterday.,Low
Tube Light Fault,Bathroom tap keeps dripping in room 271. The complaint was observed this morning.,Medium
Dustbin Overflow,Request to install additional charging ports. This has become inconvenient for students.,Low
Furniture Damage,Water supply is irregular in Block E. This has become inconvenient for students.,Medium
Furniture Damage,Water supply is irregular in Block A. The complaint was observed this morning.,Medium
Fire Hazard,Short circuit occurred near switchboard in room 420. Please resolve this issue as soon as possible.,High
Garden Maintenance,Dustbin outside room 101 is overflowing. This has become inconvenient for students.,Low
Fire Hazard,Student collapsed due to breathing difficulty in room 197. The problem is becoming worse every day.,High
Switch Board Issue,Door lock is jammed and cannot be opened in room 517. Immediate maintenance is requested.,Medium
Door Lock Issue,Ceiling fan is not rotating properly in room 378. This has become inconvenient for students.,Medium
Socket Repair,Flush is not working in hostel washroom. This has become inconvenient for students.,Medium
Mess Food Feedback,Request to install additional charging ports. The issue is affecting daily hostel life.,Low
Switch Board Issue,Door lock is jammed and cannot be opened in room 110. The issue is affecting daily hostel life.,Medium
Noise Complaint,Students are making noise after study hours. This has become inconvenient for students.,Low
Security Emergency,"Continuous water leakage from ceiling in room 155, Block C. The issue is affecting daily hostel life.",High
Water Supply Problem,Switch board buttons are loose in room 516. The problem is becoming worse every day.,Medium
Furniture Damage,Switch board buttons are loose in room 474. The complaint was observed this morning.,Medium
Tube Light Fault,Door lock is jammed and cannot be opened in room 354. This has become inconvenient for students.,Medium
Laundry Delay,Mess food quality can be improved during dinner. Kindly look into this matter.,Low
Door Lock Issue,Study table leg is broken in room 123. This problem has been occurring since yesterday.,Medium
Electric Shock,Short circuit occurred near switchboard in room 505. This problem has been occurring since yesterday.,High
Ceiling Collapse,Student experienced electric shock from socket in room 481. Please resolve this issue as soon as possible.,High
Ceiling Collapse,Ceiling plaster collapsed in room 106. Immediate maintenance is requested.,High
Flush Issue,Study table leg is broken in room 166. Immediate maintenance is requested.,Medium
Noise Complaint,Room cleaning has not been done for two days in room 257. Immediate maintenance is requested.,Low
Suggestion,Request to install additional charging ports. Kindly look into this matter.,Low
Laundry Delay,Internet speed is slow in room 364. Please resolve this issue as soon as possible.,Low
WiFi Slow,Garden near Block C requires maintenance. This has become inconvenient for students.,Low
Switch Board Issue,Power socket is loose and needs replacement. This has become inconvenient for students.,Medium
Fire Hazard,Short circuit occurred near switchboard in room 407. The problem is becoming worse every day.,High
Electric Shock,Student collapsed due to breathing difficulty in room 254. The issue is affecting daily hostel life.,High
Mess Food Feedback,Students are making noise after study hours. This has become inconvenient for students.,Low
Minor Maintenance,Students are making noise after study hours. The complaint was observed this morning.,Low
Painting Request,Hostel walls require repainting in Block E. The issue is affecting daily hostel life.,Low
Ceiling Collapse,Smoke observed coming from electrical wiring in corridor. Kindly look into this matter.,High
Tube Light Fault,Tube light flickers continuously in room 298. Immediate maintenance is requested.,Medium
Minor Maintenance,Students are making noise after study hours. Please resolve this issue as soon as possible.,Low
Suggestion,Laundry clothes have not been returned on time. This problem has been occurring since yesterday.,Low
Furniture Damage,Switch board buttons are loose in room 212. Please resolve this issue as soon as possible.,Medium
Flush Issue,Bathroom tap keeps dripping in room 159. This problem has been occurring since yesterday.,Medium
Minor Maintenance,Room cleaning has not been done for two days in room 347. The problem is becoming worse every day.,Low
Water Leakage,Fire sparks noticed near electrical panel in room 422. Please resolve this issue as soon as possible.,High
Window Damage,Flush is not working in hostel washroom. The complaint was observed this morning.,Medium
Minor Maintenance,Curtain rod is slightly loose in room 132. The complaint was observed this morning.,Low
Medical Emergency,Student experienced electric shock from socket in room 304. The complaint was observed this morning.,High
Water Leakage,Short circuit occurred near switchboard in room 199. The issue is affecting daily hostel life.,High
Garden Maintenance,Internet speed is slow in room 288. This has become inconvenient for students.,Low
